Column2,Column3,chatgpt,Spanish Sentiment Analisis,BERT,textBlob
"Buena atención, y se respeta la cita y la hora agendado ",positivo,positivo,,,
Primera vez que fuimos y nos gustó la atención de la recepcionista y pediatra.,positivo,positivo,,,
Buena atención ,positivo,positivo,,,
"Esperé más de una hora en ser atendida y no me dieron explicaciones , esto debe ser mejorado, al menos indicar el retraso y pedir una disculpa al paciente que está pagando por un servicio y agendó una hora para ser atendido.",negativo,negativo,,,
Super buena  ,positivo,positivo,,,
"Cuando se pregunte porque no están los resultados listos el día y la hora acordada, mencionar la verdad no puede existir dos o más versiones. ",negativo,sin contexto (se necesita más información para determinar si es positivo o negativo),,,
Podrían poner un cartel donde se indiquen la ubicación de las distintas especialidades. Me he atendido con distintos médicos y he debido pasar por los dos edificios preguntando dónde es con cada cuál. ,neutro,negativo,,,
No sé ,neutro,sin contexto (no hay suficiente información para determinar si es positivo o negativo),,,
Son muy atentos y muy rápido la espera ,positivo,positivo,,,
Es fácil de pedir hora,positivo,positivo,,,
"Atención a todos por igual, no ser más amable solo con los conocidos o aquellos que son del agrado de las que atienden ",negativo,positivo,,,
"Buen día, la atención acertiva en diagnóstico, profesional y empática del médico. ",positivo,positivo,,,
"Un servicio muy completo, personal atento y grata estadía. ",positivo,positivo,,,
"La atención, disponibilidad del equipo en todo momento, alimentación al acompañante,pensaba como salir a tomar un café,no dejar a mi hijo solo,estába muy sensible después de la operación,y me convidaron almuerzo,fue un gran alivio, muchas gracias ",positivo,positivo,,,
Atención y infraestructura ,positivo,sin contexto (no hay suficiente información para determinar si es positivo o negativo),,,
Buen profecional,positivo,positivo,,,
Excelente atención y cumplimiento de horarios ,positivo,positivo,,,
Que  las horas por fonasa fueran tan expeditas como particular. Gracias,neutro,negativo,,,
"Buena atención, profesionalismo",positivo,positivo,,,
"Lo expedito y rápido, teníamos hora agendada. ",positivo,positivo,,,
puntualidad en la hora del examen y el precio,positivo,positivo,,,
Es muy rápido el proceso antes de la consulta ,positivo,positivo,,,
 En la recepción de  examenes es muy demaciado lento hay muy poco personal  para agilizar el sistema de atención...,negativo,negativo,,,
Estuve esperando 1 hora para una atención debido a que la señorita se lo olvidó avisar que yo me encontraba en sala,negativo,negativo,,,
Atencion rapida y eficiente.,positivo,positivo,,,
La aplicacion de terapias alternativas como la acupuntura,neutro,sin contexto (no hay suficiente información para determinar si es positivo o negativo),,,
Buena disposición en las chicas que atienden,positivo,positivo,,,
Buenos días.... que las horas de las personas de otra ciudad las den más temprano.... por la locomoción ,neutro,sin contexto (no hay suficiente información para determinar si es positivo o negativo),,,
La amabilidad en la atencion,positivo,positivo,,,
"Mientras realicé mi examen estuvo todo muy bien,  todos muy amables y expedito, pero cuando pase por los resultado en las cajas,  la atención no fue la mejor, la Sra. que me atendió  no respondió a mi saludo y fue muy pesada, lejana y soberbia en el trato, me fuí de ahí con una sensación entre malestar y pena. Las personas que visitan la clínica, en su gran mayoría cargan con el peso de una enfermedad  ya sea propia o familiar y no me gustaría que otra persona pasara nuevamente un mal rato. Más empatía por favor.",negativo,negativo,,,
"Excelente tecnología, higiene y atención ",positivo,positivo,,,
Pago rápido y atención medica muy profesional,positivo,positivo,,,
Buena atención ,positivo,positivo,,,
"Orden, limpieza, y calidad profesional",positivo,positivo,,,
"Hay pocas horas disponibles con la pediatra de mi hijo, asimismo cuando busco un especialista por ejemplo otorrinolaringoló o un broncopulmonar infantil no se visualizan en el sistema. No estoy de acuerdo que cobren los estacionamiento, este debería ser un beneficio por preferir la atencion en la clínica.  No entiendo cómo puede suceder que en la única clínica qué hay en Osorno no exista urgencia pediátrica, doy gracias por ir el Hospital de Osorno atienden excelente ya que he tenido que solicitar atención varías veces por mi hijo. Aún cuando estoy descontenta por algunos temas  así sigo concurriendo a sus inmediaciones debido que mi hijo está en Isapre",negativo,negativo,,,
Excelente la atención y el servicio entregado por todos y cada uno de los profesionales y funcionarios.,positivo,positivo,,,
"muy buena atención,  puntual, y  la enfermera y tens  muy preocupadas",positivo,positivo,,,
Imposición de horas y interacción con los medios de comunicación como correo electrónico etc.,neutro,sin contexto (no hay suficiente información para determinar si es positivo o negativo),,,
contar con atención mediante pago vía Fonasa,neutro,sin contexto (no hay suficiente información para determinar si es positivo o negativo),,,
"La cercanía del médico que me atendió. La puntualidad en la atención también siempre se agradece, ya que el tiempo de todos es valioso. ",positivo,positivo,,,
la amabilidad de su personal,positivo,positivo,,,
La rapidez y amabilidad del personal,positivo,positivo,,,
"Leeenta la atención. Claramente y de forma fácil se puede mejorar teniendo a gente de respaldo para atender contingencias en urgencia. No es necesario tenerlas in situ, sino que de turno, para que puedan asistir al personal base en caso de aglomeramiento de Urgencias.",negativo,negativo,,,
Teniendo profesionales que trabajen por amor y vocación a lo que hacen en su área tuve mala experiencia con el ginecólogo Miguel loaiza de la clínica alemana plaza bhuler dio una pésima atención poco tacto tan solo por ir por una Eco simple y no una eco de mayor valor falto que evaluara muchas cosas en mi bebé no nacido obvio q no me atenderé con el más y cambiare de ginecólogo.,negativo,negativo,,,
Lo más agradable la atención en general,positivo,positivo,,,
El Tiempo de espera para la atencion medica .... tarifas altas minimo atender a la hora que se cita a los pacientes... esperar  1 hora despues de lo citado creo que es un burla a los pacientes ... por lo tanto no pueden esperar que un medico en 20 min atienda alguien y cobrar 60 mil pesos  y mas encima tener que esperar 1 hora para dicha atencion .,negativo,negativo,,,
El profesional un 10 ,positivo,positivo,,,
La atención y cordialidad de los profesionales que trabajan allá.,positivo,positivo,,,
